ID,TERMINAL_NUMBER,ADDRESS,Zipcode,Neighborhood,,,,,
100,31701,Branch & Pennsylvania Ave SE,,,,,,,
36,31702,Randle Circle & Minnesota Ave SE,,,,,,,
37,31703,Minnesota Ave Metro/DOES,,,,,,,
38,31704,Nannie Helen Burroughs & Minnesota Ave NE,,,,,,,
70,31705,Benning Branch Library,,,,,,,
132,31706,Fairfax Village,,,,,,,
150,31707,Benning Rd & East Capitol St NE / Benning Rd Metro,,,,,,,
152,31708,Anacostia Ave & Benning Rd NE / River Terrace,,,,,,,
238,"31,709",34th St & Minnesota Ave SE,,,,,,,
303,31710,Nannie Helen Burroughs Ave & 49th St NE,,,,,,,
304,31711,Deanwood Rec Center,,,,,,,
373,31712,Oklahoma Ave & D St NE,,,,,,,
422,31713,Division Ave & Foote St NE,,,,,,,
444,31714,61st St & Banks Pl NE,,,,,,,
500,31715,37th & Ely Pl SE / Fort Dupont Ice Arena,,,,,,,
239,31800,Alabama & MLK Ave SE,,,,,,,
39,31801,Anacostia Metro,,,,,,,
40,31802,Good Hope Rd & MLK Ave SE,,,,,,,
179,31803,Good Hope Rd & 14th St SE,,,,,,,
66,31804,Anacostia Library,,,,,,,
67,31805,Pennsylvania & Minnesota Ave SE,,,,,,,
155,31806,Congress Heights Metro,,,,,,,
240,31807,Pleasant St & MLK Ave SE,,,,,,,
392,31811,South Capitol & Atlantic St SW,,,,,,,
423,31812,16th & Q St SE / Anacostia HS,,,,,,,
493,31813,Alabama Ave & Stanton Rd SE / Shops at Park Village,,,,,,,
494,31814,Mississippi Ave & 19th St SE / THEARC,,,,,,,
495,31815,19th & Savannah St SE,,,,,,,
496,31816,4th St & Mississippi Ave SE,,,,,,,
497,31817,1st & S Capitol St SE / Oxon Run Trail,,,,,,,
498,31818,Livingston Rd & 3rd St SE,,,,,,,
499,31819,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,,,,,,,
510,31820,Anacostia Park,,,,,,,
379,31900,Lee Hwy & N Woodstock St,,,,,,,
384,31901,Washington Blvd & N Frederick St,,,,,,,
359,31902,Wilson Blvd & N Illinois St,,,,,,,
396,31903,Royal & Wilkes St,,,,,,,
404,31904,East Falls Church Metro/Sycamore St & 19th St N,,,,,,,
405,31905,Kennebec St & 11th St N,,,,,,,
406,31906,Commonwealth Ave & Oak St,,,,,,,
411,31907,Franklin & S Washington St,,,,,,,
403,31908,Radford & Osage St,,,,,,,
412,31909,Mount Vernon Ave & Four Mile Run Park,,,,,,,
398,31910,Potomac Ave & Main Line Blvd,,,,,,,
414,31912,Mount Vernon Ave & Bruce St,,,,,,,
407,31913,Commonwealth & E Monroe Ave,,,,,,,
415,31914,Lee Center,,,,,,,
416,31915,Powhatan St & Bashford Ln,,,,,,,
417,31916,Potomac & Swann Ave,,,,,,,
448,31917,N Lynn St & Fairfax Dr,,,,,,,
451,31918,Madison & Fairfax St,,,,,,,
456,31919,Carlin Springs Rd & N Thomas St,,,,,,,
475,31920,Washington-Lee High School / N Stafford St & Generals Way,,,,,,,
476,31921,Westover Library / Washington Blvd & N McKinley Rd,,,,,,,
477,31923,Columbia Pike & S Taylor St,,,,,,,
486,31924,Wilson Blvd & N Troy St,,,,,,,
263,32000,Norfolk Ave & Fairmont St,,,,,,,
258,32001,Fenton St & New York Ave,,,,,,,
259,32002,Bethesda Ave & Arlington Rd,,,,,,,
260,32003,Montgomery Ave & Waverly St,,,,,,,
261,32004,Fallsgrove Blvd & Fallsgrove Dr,,,,,,,
262,32005,Traville Gateway Dr & Gudelsky Dr,,,,,,,
225,32006,13th St & Eastern Ave,,,,,,,
264,32007,E Montgomery Ave & Maryland Ave,,,,,,,
265,32008,Cordell & Norfolk Ave,,,,,,,
266,32009,Frederick Ave & Horners Ln,,,,,,,
267,32010,Philadelphia & Maple Ave,,,,,,,
268,32011,Maple & Ritchie Ave,,,,,,,
269,32012,Silver Spring Metro/Colesville Rd & Wayne Ave,,,,,,,
270,32013,Montgomery & East Ln,,,,,,,
271,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,,,,,,,
276,32015,Crabbs Branch Way & Redland Rd,,,,,,,
277,32016,Fallsgrove Dr & W Montgomery Ave,,,,,,,
278,32017,Monroe St & Monroe Pl,,,,,,,
279,32018,Needwood Rd & Eagles Head Ct,,,,,,,
280,32019,East West Hwy & Blair Mill Rd,,,,,,,
281,32020,Crabbs Branch Way & Calhoun Pl,,,,,,,
282,32021,47th & Elm St,,,,,,,
283,32022,Dennis & Amherst Ave,,Reston,,,,,
284,32023,Montgomery College/W Campus Dr & Mannakee St,,,,,,,
285,32024,Fenton St & Gist Ave,,,,,,,
286,32025,Carroll & Westmoreland Ave,,,,,,,
287,32026,Carroll & Ethan Allen Ave,,,,,,,
288,32027,Battery Ln & Trolley Trail,,,,,,,
289,32028,Norfolk & Rugby Ave,,,,,,,
290,32029,Offutt Ln & Chevy Chase Dr,,,,,,,
291,32030,Broschart & Blackwell Rd,,,,,,,
292,32031,Taft St & E Gude Dr,,,,,,,
293,32032,Fleet St & Ritchie Pkwy,,,,,,,
294,32033,Piccard & W Gude Dr,,,,,,,
295,32034,Ripley & Bonifant St,,,,,,,
296,32035,Georgia Ave & Spring St,,,,,,,
297,32036,Fenton St & Ellsworth Dr,,,,,,,
298,32037,King Farm Blvd & Pleasant Dr,,,,,,,
299,32038,King Farm Blvd & Piccard Dr,,,,,,,
308,32039,Old Georgetown Rd & Southwick St,,,,,,,
309,32040,Friendship Blvd & Willard Ave,,,,,,,
315,32041,Medical Center Dr & Key West Ave,,,,,,,
316,32042,Shady Grove Hospital,,,,,,,
317,32043,Veterans Pl & Pershing Dr,,,,,,,
318,32044,Rockville Metro East,,,,,,,
325,32045,Shady Grove Metro West,,,,,,,
326,32046,River Rd & Landy Ln,,,,,,,
327,32047,Rockville Metro West,,,,,,,
328,32048,Bethesda Metro,,,,,,,
345,32049,Washington Adventist U / Flower Ave & Division St,,,,,,,
350,32050,Spring St & Second Ave,,,,,,,
377,32051,Connecticut Ave & Chevy Chase Lake Dr,,,,,,,
378,32052,Key West Ave & Siesta Key Way,,,,,,,
383,32053,Medical Center Metro,,,,,,,
388,32054,Lyttonsville Rd & Lyttonsville Pl,,,,,,,
389,32055,Woodmont Ave & Strathmore St,,,,,,,
395,32056,East West Hwy & 16th St,,Reston,,,,,
459,32057,Pooks Hill Rd & Linden Ave,,,,,,,
452,32058,Sligo Ave & Carroll Ln,,,,,,,
460,32059,Takoma Park Rec Center,,,,,,,
461,32061,New Hampshire & Kirklynn Ave,,,,,,,
462,32062,Wheaton Metro/Georgia Ave & Reedie Dr,,,,,,,
463,32063,Amherst Ave & Elkins St,,,,,,,
464,32064,Amherst Ave & Prichard Rd,,,,,,,
465,32065,Grandview & Blueridge Ave,,,,,,,
466,32066,Windham Ln & Amherst Ave,,,,,,,
472,32067,Shady Grove Metro East,,,,,,,
478,32068,Columbus Ave & Tribeca St,,,,,,,
479,32069,Columbus Ave & Gramercy Blvd,,,,,,,
481,32070,Key West Ave & Great Seneca Hwy,,Reston,,,,,
491,32071,Corporate Blvd & Omega Dr,,,,,,,
492,32072,Key West Ave & Diamondback Dr,,,,,,,
507,32073,Blueridge Ave & Elkins St,,,,,,,
511,32074,Twinbrook Metro,,,,,,,
512,32075,White Flint Metro,,,,,,,
513,32076,Citadel Ave & McGrath Blvd,,,,,,,
514,32077,Rockville Pike & Old Georgetown Rd,,,,,,,
515,32078,Woodglen Dr & Executive Blvd,,,,,,,
516,32079,Executive Blvd & E Jefferson St,,,,,,,
517,32080,Fishers Ln & Rock Creek Mill Rd,,,,,,,
518,32081,Congressional Ln & E Jefferson St,,,,,,,
519,32082,Garland Ave & Walden Rd,,Silver Spring,,,,,
424,32200,Spring Hill Metro,,Tysons Corner,,,,,
425,32201,Westpark Dr & Leesburg Pike,,Tysons Corner,,,,,
427,32203,Tysons One Pl & Chain Bridge Rd,,Tysons Corner,,,,,
428,32204,Tysons Corner Station,,Tysons Corner,,,,,
429,32205,Westpark & Jones Branch Dr,,Tysons Corner,,,,,
430,32206,Jones Branch & Westbranch Dr,,Tysons Corner,,,,,
431,32207,Westpark & Park Run Dr,,Tysons Corner,,,,,
432,32208,Tysons West Transit Center,,Tysons Corner,,,,,
433,32209,North Shore & Cameron Crescent Dr/Crescent Apartments,,Reston,,,,,
434,32210,Town Center Pkwy & Bowman Towne Dr,,Reston,,,,,
435,32211,Reston Regional Library,,Reston,,,,,
436,32212,New Dominion Pkwy & Fountain Dr,,Reston,,,,,
437,32213,Sunset Hills & Old Reston Ave,,Reston,,,,,
438,32214,Reston Town Center Transit Station,,Reston,,,,,
440,32215,Reston Station,,Reston,,,,,
441,32216,Library St & Freedom Dr,,Reston,,,,,
442,32217,Sunset Hills Rd & Discovery Square,,Reston,,,,,
445,32218,Temporary Rd & Old Reston Ave,,Reston,,,,,
446,32219,Reston YMCA,,Reston,,,,,
447,32220,Sunset Hills Rd & Isaac Newton Square,,Reston,,,,,
450,32221,Greensboro & International Dr,,Tysons Corner,,,,,
457,32222,Towers Crescent Dr & Tysons One Pl,,Tysons Corner,,,,,
467,32223,North Shore Dr & Village Rd,,Reston,,,,,
468,32224,Town Center Pkwy & Sunset Hills Rd,,Reston,,,,,
480,32225,Reston Pkwy & Spectrum Dr,,Reston,,,,,
520,32227,Greensboro & Pinnacle Dr,,Tysons Corner,,,,,
